ROI_label;x18_Networks_name;x18_Networks_index;x9_Networks_name;x9_Networks_index;hemisphere;x;y;z;R;G;B;R7;G7;B7
ContB_PFCmp_1;ContB;12;Cont;6;RH;8.20636611356149;45.3581150547577;34.0090227185157;0.54118;0.19608;0.29412;234;148;38
ContB_PFCld_3;ContB;12;Cont;6;RH;23.1215373702264;42.7972148764479;30.5067448293384;0.54118;0.19608;0.29804;234;148;39
ContC_pCun_1;ContC;13;Cont;6;RH;14.1768171097282;-51.1109256910660;17.1179963320963;0.48235;0.55294;0.69412;234;148;40
ContC_pCun_2;ContC;13;Cont;6;RH;5.45590523146343;-37.7295635516156;25.8343800477447;0.48235;0.55294;0.69804;234;147;41
ContC_Cingp_1;ContC;13;Cont;6;RH;4.13386170175862;-5.31288845197682;9.92110862540068;0.48235;0.55294;0.70196;234;147;42
DefaultA_IPL_1;DefaultA;14;Default;7;RH;54.9471567948981;-32.8811162461613;13.7972234595670;0.98431;0.99608;0.0078431;209;62;78
DefaultA_PFCd_1;DefaultA;14;Default;7;RH;28.4381616475434;47.9073847910216;23.8622908920255;0.98431;1;0.011765;209;62;79
DefaultA_pCunPCC_1;DefaultA;14;Default;7;RH;5.07372928878584;-31.1193935986259;11.2025075566522;0.98431;0.99216;0.0039216;209;62;80
DefaultA_PFCm_1;DefaultA;14;Default;7;RH;7.78443586594335;61.3711748214407;-15.6984273765289;0.97647;1;0.0039216;209;61;77
DefaultA_PFCm_2;DefaultA;14;Default;7;RH;3.48524007259286;49.3234433612953;-2.64995423413474;0.97647;1;0.0078431;209;61;79
DefaultA_PFCm_3;DefaultA;14;Default;7;RH;8.08743988271588;76.7012160107667;-1.90204951547577;0.97647;1;0.011765;209;61;80
DefaultB_Temp_1;DefaultB;15;Default;7;RH;60.7422187542570;-8.82509393901034;-24.4872760994570;0.82353;0.24314;0.31373;209;61;81
DefaultB_AntTemp_1;DefaultB;15;Default;7;RH;46.4746699873804;31.6343290414966;-49.0869703630051;0.82353;0.24706;0.3098;209;61;82
DefaultB_PFCd_1;DefaultB;15;Default;7;RH;15.5418901200112;66.0630912865242;21.2905313896098;0.82353;0.24706;0.31373;209;61;78
DefaultB_PFCv_1;DefaultB;15;Default;7;RH;50.1314616056461;48.4554738227746;-19.6800897926067;0.81961;0.24314;0.30588;208;62;76
DefaultC_IPL_1;DefaultC;16;Default;7;RH;44.9693630841146;-49.6594360701961;14.4426919912055;0.015686;0.0039216;0.51765;208;62;77
DefaultC_Rsp_1;DefaultC;16;Default;7;RH;13.6398655335177;-36.5918811671791;-4.96926630776630;0.019608;0;0.51373;208;62;79
DefaultC_PHC_1;DefaultC;16;Default;7;RH;25.8391767981292;-19.4896934025302;-32.6701837574578;0.019608;0;0.51765;208;62;80
TempPar_1;TempPar;17;TempPar;8;RH;54.7554781620017;12.0727713018309;-29.1066951497025;0.062745;0.18824;1;16;48;255
TempPar_2;TempPar;17;TempPar;8;RH;50.2269498015586;-14.6733614930402;-16.9078583914874;0.05098;0.16078;0.98039;13;41;250
TempPar_3;TempPar;17;TempPar;8;RH;56.2743047914607;-26.0483448365939;-5.37109421622233;0.05098;0.16078;0.98431;13;41;251
TempPar_4;TempPar;17;TempPar;8;RH;60.3509175641063;-21.4850875478755;0.572839521981820;0.05098;0.16078;0.98824;13;41;252
Sub_thalamusproper;Sub;18;Sub;9;LH;-12.1064387818474;-0.448652855994993;-13.5589183907886;0.1;0.1;0.1;20;20;20
Sub_caudate;Sub;18;Sub;9;LH;-13.8827984953982;26.4664313516161;-9.40585118261812;0.1;0.1;0.1;21;20;20
Sub_putamen;Sub;18;Sub;9;LH;-26.2461230847135;19.2501158206973;-19.7116027195444;0.1;0.1;0.1;22;20;20
Sub_pallidum;Sub;18;Sub;9;LH;-20.3472266348958;12.9532395273938;-21.1405439506238;0.1;0.1;0.1;23;20;20
Sub_hyppocampus;Sub;18;Sub;9;LH;-25.3493547134028;-4.44502474829612;-33.6648260971012;0.1;0.1;0.1;24;20;20
Sub_amygdala;Sub;18;Sub;9;LH;-23.3273318583929;13.8840028711685;-39.2696729150337;0.1;0.1;0.1;25;20;20
Sub_accumbensarea;Sub;18;Sub;9;LH;-8.83394870603202;29.5356336874024;-27.6311395486711;0.1;0.1;0.1;26;20;20
Sub_thalamusproper;Sub;18;Sub;9;RH;11.1692862851206;1.45704692580725;-13.5941926582190;0.1;0.1;0.1;27;25;20
Sub_caudate;Sub;18;Sub;9;RH;13.2542836012783;28.0516535680515;-9.54386877177466;0.1;0.1;0.1;28;25;20
Sub_putamen;Sub;18;Sub;9;RH;25.7366862623979;20.9751995815326;-20.2297746004850;0.1;0.1;0.1;29;25;20
Sub_pallidum;Sub;18;Sub;9;RH;20.0571407076989;14.3511029665509;-21.1327558568912;0.1;0.1;0.1;30;25;20
Sub_hyppocampus;Sub;18;Sub;9;RH;25.7926085270014;-3.37483300130896;-33.4408624769256;0.1;0.1;0.1;31;25;20
Sub_amygdala;Sub;18;Sub;9;RH;22.5362580578929;15.2042933834014;-39.6209494048215;0.1;0.1;0.1;32;25;20
Sub_accumbensarea;Sub;18;Sub;9;RH;8.09074174208119;30.5369603383458;-27.1268500439542;0.1;0.1;0.1;33;25;20
