ROI_label;x18_Networks_name;x18_Networks_index;x9_Networks_name;x9_Networks_index;hemisphere;x;y;z
SalVentAttnB_Ins_1;LH_SalVentAttnB;15;LH_SalVentAttn;7;LH;-33.6292447560717;39.6345987699230;-14.8645505639509
SalVentAttnB_PFCmp_1;LH_SalVentAttnB;15;LH_SalVentAttn;7;LH;-6.65800829453704;48.5387813630704;4.42397075373744
LimbicB_OFC_1;LH_LimbicB;17;LH_Limbic;9;LH;-24.6979016216641;41.9448610775573;-39.8348694066340
LimbicB_OFC_2;LH_LimbicB;17;LH_Limbic;9;LH;-10.2300521746710;54.6720127690795;-41.0153293121686
LimbicA_TempPole_1;LH_LimbicA;19;LH_Limbic;9;LH;-31.4851973186846;13.8760609903990;-60.1566667406800
LimbicA_TempPole_2;LH_LimbicA;19;LH_Limbic;9;LH;-49.1769249964929;-2.47238304715769;-49.8099997032615
LimbicA_TempPole_3;LH_LimbicA;19;LH_Limbic;9;LH;-27.7244646075645;28.8323973954760;-53.8470552864254
LimbicA_TempPole_4;LH_LimbicA;19;LH_Limbic;9;LH;-43.3549641273567;23.3481320303832;-37.3883199649143
ContA_Temp_1;LH_ContA;21;LH_Cont;11;LH;-57.1328156322574;-43.2380809976331;-18.2346336087690
ContA_IPS_1;LH_ContA;21;LH_Cont;11;LH;-34.6347094022850;-41.0816796264430;24.6883971684872
ContA_IPS_2;LH_ContA;21;LH_Cont;11;LH;-46.6043772615114;-20.5362948920008;27.1994119752766
ContA_IPS_3;LH_ContA;21;LH_Cont;11;LH;-32.6230369606654;-27.9613165739401;21.7494369650535
ContA_PFCd_1;LH_ContA;21;LH_Cont;11;LH;-23.7055633762851;23.6850466416756;38.4499522778461
ContA_PFClv_1;LH_ContA;21;LH_Cont;11;LH;-42.7140580827925;61.7970633566431;-5.36931351145530
ContA_PFCl_1;LH_ContA;21;LH_Cont;11;LH;-44.5290207601694;39.8023450835744;5.33817544443259
ContA_PFCl_2;LH_ContA;21;LH_Cont;11;LH;-48.5901642507172;24.8377469467134;7.25967366146422
ContA_PFCl_3;LH_ContA;21;LH_Cont;11;LH;-44.7772796271892;23.0134731423682;22.4147462200776
ContA_Cingm_1;LH_ContA;21;LH_Cont;11;LH;-3.50977191184529;21.7894183061820;11.0354443639406
ContB_Temp_1;LH_ContB;23;LH_Cont;11;LH;-60.6737347398776;-30.2259165946439;-31.8527053918923
ContB_IPL_1;LH_ContB;23;LH_Cont;11;LH;-52.1412469455624;-30.6269954993635;28.0591605299710
ContB_PFCl_1;LH_ContB;23;LH_Cont;11;LH;-42.0650387458927;36.9268160383014;27.9507974773826
ContB_PFClv_1;LH_ContB;23;LH_Cont;11;LH;-42.8661906454283;67.6568214582097;-24.8570635633013
ContB_PFClv_2;LH_ContB;23;LH_Cont;11;LH;-28.1699546098800;75.5902646758764;-12.2826558788661
ContC_pCun_1;LH_ContC;25;LH_Cont;11;LH;-11.2331328497826;-52.7740576858336;18.0279574150116
ContC_pCun_2;LH_ContC;25;LH_Cont;11;LH;-7.14701034125214;-41.8110354949876;37.8120478727125
ContC_Cingp_1;LH_ContC;25;LH_Cont;11;LH;-4.82299313695107;-8.76371506488005;7.57082636733617
DefaultA_IPL_1;DefaultA;28;LH_Default;13;LH;-43.2678455593014;-47.3813634080430;24.7163966414565
DefaultA_PFCd_1;DefaultA;28;LH_Default;13;LH;-24.7953765068873;45.0969399839396;27.2458310734199
DefaultA_pCunPCC_1;DefaultA;28;LH_Default;13;LH;-5.56037454112564;-36.7429940022615;7.39033300870239
DefaultA_pCunPCC_2;DefaultA;28;LH_Default;13;LH;-3.76430937562834;-7.84773754211001;18.0769560225773
DefaultA_pCunPCC_3;DefaultA;28;LH_Default;13;LH;-5.58118779667674;-37.2203251897594;22.9707523755835
DefaultA_PFCm_1;DefaultA;28;LH_Default;13;LH;-6.61233519352882;55.0368967955929;-30.3975038825881
DefaultA_PFCm_2;DefaultA;28;LH_Default;13;LH;-14.7193063858853;82.1776505238316;-24.3882050042964
DefaultA_PFCm_3;DefaultA;28;LH_Default;13;LH;-7.12845947943502;62.9427707568383;-13.6497925012285
DefaultB_Temp_1;DefaultB;30;LH_Default;13;LH;-47.2140691131820;27.5855074874686;-51.0438319518489
DefaultB_Temp_2;DefaultB;30;LH_Default;13;LH;-62.7660057944556;-4.82225273738497;-38.7628214511729
DefaultB_Temp_3;DefaultB;30;LH_Default;13;LH;-57.0187372410443;12.9681201208071;-31.7839689701537
DefaultB_Temp_4;DefaultB;30;LH_Default;13;LH;-58.0820725135368;-13.7738250080962;-22.4314292808455
DefaultB_IPL_1;DefaultB;30;LH_Default;13;LH;-59.3836634680450;-34.5023603372136;11.4964462662868
DefaultB_PFCd_1;DefaultB;30;LH_Default;13;LH;-9.91208277714958;77.5586850979612;-0.369398120877236
DefaultB_PFCd_2;DefaultB;30;LH_Default;13;LH;-12.5410897461801;67.1256756161235;22.5185122148789
DefaultB_PFCd_3;DefaultB;30;LH_Default;13;LH;-4.83732691045292;54.3001395537454;21.1204833502954
DefaultB_PFCd_4;DefaultB;30;LH_Default;13;LH;-10.8909082606469;39.7136769740943;41.2723898485600
DefaultB_PFCv_1;DefaultB;30;LH_Default;13;LH;-36.1441322753046;39.7634360527134;-32.3879275844063
DefaultB_PFCv_2;DefaultB;30;LH_Default;13;LH;-33.3618931569871;61.3533326209545;-33.9028933281156
